set N := 1..51;
param c :=
1 1 0
1 2 13
1 3 20
1 4 32
1 5 23
1 6 17
1 7 23
1 8 12
1 9 25
1 10 35
1 11 13
1 12 21
1 13 42
1 14 27
1 15 37
1 16 19
1 17 31
1 18 28
1 19 46
1 20 21
1 21 27
1 22 8
1 23 22
1 24 29
1 25 34
1 26 19
1 27 9
1 28 17
1 29 22
1 30 33
1 31 17
1 32 7
1 33 43
1 34 31
1 35 28
1 36 32
1 37 31
1 38 19
1 39 44
1 40 57
1 41 45
1 42 45
1 43 35
1 44 38
1 45 43
1 46 14
1 47 24
1 48 13
1 49 27
1 50 25
1 51 14
2 1 13
2 2 0
2 3 16
2 4 38
2 5 22
2 6 29
2 7 35
2 8 23
2 9 17
2 10 29
2 11 11
2 12 25
2 13 51
2 14 38
2 15 36
2 16 9
2 17 35
2 18 36
2 19 51
2 20 13
2 21 15
2 22 11
2 23 34
2 24 42
2 25 44
2 26 30
2 27 20
2 28 19
2 29 10
2 30 24
2 31 24
2 32 12
2 33 40
2 34 20
2 35 20
2 36 25
2 37 32
2 38 15
2 39 36
2 40 62
2 41 51
2 42 49
2 43 47
2 44 39
2 45 41
2 46 20
2 47 30
2 48 25
2 49 22
2 50 14
2 51 22
3 1 20
3 2 16
3 3 0
3 4 50
3 5 37
3 6 36
3 7 36
3 8 22
3 9 31
3 10 44
3 11 26
3 12 39
3 13 62
3 14 46
3 15 51
3 16 23
3 17 49
3 18 47
3 19 65
3 20 8
3 21 25
3 22 13
3 23 37
3 24 46
3 25 52
3 26 26
3 27 28
3 28 10
3 29 18
3 30 38
3 31 16
3 32 23
3 33 55
3 34 33
3 35 11
3 36 13
3 37 47
3 38 30
3 39 50
3 40 75
3 41 64
3 42 63
3 43 47
3 44 54
3 45 56
3 46 33
3 47 42
3 48 29
3 49 37
3 50 28
3 51 33
4 1 32
4 2 38
4 3 50
4 4 0
4 5 21
4 6 22
4 7 38
4 8 38
4 9 33
4 10 32
4 11 27
4 12 13
4 13 16
4 14 18
4 15 19
4 16 36
4 17 8
4 18 8
4 19 15
4 20 49
4 21 45
4 22 39
4 23 32
4 24 29
4 25 18
4 26 43
4 27 25
4 28 48
4 29 44
4 30 39
4 31 47
4 32 27
4 33 31
4 34 42
4 35 56
4 36 61
4 37 13
